scientific_name,year_discovered,family_scientific_name
"Turtur Boddaert, 1783",1783,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Formicarius Boddaert, 1783",1783,(SELECT scientific_name FROM families WHERE scientific_name = 'Formicariidae')
"Manucodia Boddaert, 1783",1783,(SELECT scientific_name FROM families WHERE scientific_name = 'Paradisaeidae')
"Amazonetta Boetticher, 1929",1929,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Speculanas Boetticher, 1929",1929,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Sibirionetta Boetticher, 1929",1929,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Poikilocarbo Boetticher, 1935",1935,(SELECT scientific_name FROM families WHERE scientific_name = 'Phalacrocoracidae')
"Hylopsar Boetticher, 1940",1940,(SELECT scientific_name FROM families WHERE scientific_name = 'Sturnidae')
"Menelikornis Boetticher, 1947",1947,(SELECT scientific_name FROM families WHERE scientific_name = 'Musophagidae')
"Tadorna Boie, F, 1822",1822,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Spatula Boie, F, 1822",1822,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Aythya Boie, F, 1822",1822,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Melanitta Boie, F, 1822",1822,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Thalasseus Boie, F, 1822",1822,(SELECT scientific_name FROM families WHERE scientific_name = 'Laridae')
"Sternula Boie, F, 1822",1822,(SELECT scientific_name FROM families WHERE scientific_name = 'Laridae')
"Hydrobates Boie, F, 1822",1822,(SELECT scientific_name FROM families WHERE scientific_name = 'Hydrobatidae')
"Ardeola Boie, F, 1822",1822,(SELECT scientific_name FROM families WHERE scientific_name = 'Ardeidae')
"Athene Boie, F, 1822",1822,(SELECT scientific_name FROM families WHERE scientific_name = 'Strigidae')
"Monticola Boie, F, 1822",1822,(SELECT scientific_name FROM families WHERE scientific_name = 'Muscicapidae')
"Chrysococcyx Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Cuculidae')
"Lymnocryptes Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Scolopacidae')
"Glaucidium Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Strigidae')
"Dryobates Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Picidae')
"Dryocopus Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Picidae')
"Knipolegus Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Xolmis Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Tyrannidae')
"Dryoscopus Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Malaconotidae')
"Pericrocotus Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Campephagidae')
"Lalage Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Campephagidae')
"Hypothymis Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Monarchidae')
"Cyanocorax Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Corvidae')
"Cissa Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Corvidae')
"Pycnonotus Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Pycnonotidae')
"Progne Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Hirundinidae')
"Cecropis Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Hirundinidae')
"Phylloscopus Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Phylloscopidae')
"Mimus Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Mimidae')
"Thraupis Boie, F, 1826",1826,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Aix Boie, F, 1828",1828,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Ceryle Boie, F, 1828",1828,(SELECT scientific_name FROM families WHERE scientific_name = 'Alcedinidae')
"Lipaugus Boie, F, 1828",1828,(SELECT scientific_name FROM families WHERE scientific_name = 'Cotingidae')
"Galerida Boie, F, 1828",1828,(SELECT scientific_name FROM families WHERE scientific_name = 'Alaudidae')
"Eremophila Boie, F, 1828",1828,(SELECT scientific_name FROM families WHERE scientific_name = 'Alaudidae')
"Melanocorypha Boie, F, 1828",1828,(SELECT scientific_name FROM families WHERE scientific_name = 'Alaudidae')
"Sicalis Boie, F, 1828",1828,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Glaucis Boie, F, 1831",1831,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Heliactin Boie, F, 1831",1831,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Heliothryx Boie, F, 1831",1831,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Chrysolampis Boie, F, 1831",1831,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Anthracothorax Boie, F, 1831",1831,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Eulampis Boie, F, 1831",1831,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Calliphlox Boie, F, 1831",1831,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Basilinna Boie, F, 1831",1831,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Hylocharis Boie, F, 1831",1831,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Celeus Boie, F, 1831",1831,(SELECT scientific_name FROM families WHERE scientific_name = 'Picidae')
"Cercotrichas Boie, F, 1831",1831,(SELECT scientific_name FROM families WHERE scientific_name = 'Muscicapidae')
"Batis Boie, F, 1833",1833,(SELECT scientific_name FROM families WHERE scientific_name = 'Platysteiridae')
"Forpus Boie, F, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Psittacidae')
