scientific_name,common_name,year_discovered,genus_scientific_name
"Lalage newtoni (Pollen, 1866)",Reunion Cuckooshrike,1866,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lalage Boie, F, 1826')"
"Calidris falcinellus (Pontoppidan, 1763)",Broad-billed Sandpiper,1763,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Calidris Merrem, 1804')"
"Calidris ferruginea (Pontoppidan, 1763)",Curlew Sandpiper,1763,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Calidris Merrem, 1804')"
"Uria aalge (Pontoppidan, 1763)",Common Murre,1763,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Uria Brisson, 1760')"
"Gavia stellata (Pontoppidan, 1763)",Red-throated Loon,1763,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Gavia Forster, JR, 1788')"
"Buteo lagopus (Pontoppidan, 1763)",Rough-legged Buzzard,1763,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Buteo Lacpde, 1799')"
"Asio flammeus (Pontoppidan, 1763)",Short-eared Owl,1763,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Asio Brisson, 1760')"
"Melozone biarcuata (Prvost & des Murs, 1842)",Prevosts Ground Sparrow,1842,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Melozone Reichenbach, 1850')"
"Chalcothraupis ruficervix (Prvost & des Murs, 1842)",Golden-naped Tanager,1842,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Chalcothraupis Bonaparte, 1851')"
"Trachyphonus darnaudii (Prvost & des Murs, 1847)",DArnauds Barbet,1847,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Trachyphonus Ranzani, 1821')"
"Metriopelia aymara (Prvost, 1840)",Golden-spotted Ground Dove,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Metriopelia Bonaparte, 1855')"
"Columbina cruziana (Prvost, 1842)",Croaking Ground Dove,1842,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Columbina Spix, 1825')"
"Nesoenas mayeri (Prvost, 1843)",Pink Pigeon,1843,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Nesoenas Salvadori, 1893')"
"Zentrygon linearis (Prvost, 1843)",Lined Quail-Dove,1843,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Zentrygon Banks, Weckstein, Remsen & Johnson, KP, 2013')"
"Ptilinopus rivoli (Prvost, 1843)",White-bibbed Fruit Dove,1843,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ptilinopus Swainson, 1825')"
"Nisaetus pinskeri (Preleuthner & Gamauf, 1998)",Pinskers Hawk-Eagle,1998,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Nisaetus Hodgson, 1836')"
"Alectoris magna (Przevalski, 1876)",Przevalskis Partridge,1876,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Alectoris Kaup, 1829')"
"Turdus kessleri (Przevalski, 1876)",White-backed Thrush,1876,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Turdus Linnaeus, 1758')"
"Phoenicurus alaschanicus (Przevalski, 1876)",Przevalskis Redstart,1876,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phoenicurus Forster, T, 1817')"
"Onychostruthus taczanowskii (Przevalski, 1876)",White-rumped Snowfinch,1876,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Onychostruthus Richmond, 1917')"
"Prunella koslowi (Przevalski, 1887)",Kozlovs Accentor,1887,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Prunella Vieillot, 1816')"
"Carpodacus roborowskii (Przevalski, 1887)",Tibetan Rosefinch,1887,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Carpodacus Kaup, 1829')"
"Mentocrex kioloides (Pucheran, 1845)",Madagascar Forest Rail,1845,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Mentocrex Peters, JL, 1932')"
"Dryolimnas cuvieri (Pucheran, 1845)",White-throated Rail,1845,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Dryolimnas Sharpe, 1893')"
"Lepidopygia nana (Pucheran, 1845)",Madagascar Mannikin,1845,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lepidopygia Reichenbach, 1862')"
"Otus rutilus (Pucheran, 1849)",Rainforest Scops Owl,1849,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Otus Pennant, 1769')"
"Gallicolumba rufigula (Pucheran, 1853)",Cinnamon Ground Dove,1853,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Gallicolumba Heck, 1849')"
"Ixobrychus novaezelandiae (Purdie, 1871)",New Zealand Bittern,1871,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ixobrychus Billberg, 1828')"
"Parabuteo leucorrhous (Quoy & Gaimard, 1824)",White-rumped Hawk,1824,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Parabuteo Ridgway, 1874')"
"Geranoaetus polyosoma (Quoy & Gaimard, 1824)",Variable Hawk,1824,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Geranoaetus Kaup, 1844')"
"Amytornis textilis (Quoy & Gaimard, 1824)",Western Grasswren,1824,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Amytornis Stejneger, 1885')"
"Melanodera melanodera (Quoy & Gaimard, 1824)",White-bridled Finch,1824,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Melanodera Bonaparte, 1850')"
"Aerodramus vanikorensis (Quoy & Gaimard, 1832)",Uniform Swiftlet,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Aerodramus Oberholser, 1906')"
"Turacoena manadensis (Quoy & Gaimard, 1832)",White-faced Cuckoo-Dove,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Turacoena Bonaparte, 1854')"
"Ptilinopus gularis (Quoy & Gaimard, 1832)",Oberholsers Fruit Dove,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ptilinopus Swainson, 1825')"
"Ducula radiata (Quoy & Gaimard, 1832)",Grey-headed Imperial Pigeon,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ducula Hodgson, 1836')"
"Ducula rufigaster (Quoy & Gaimard, 1832)",Purple-tailed Imperial Pigeon,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ducula Hodgson, 1836')"
"Ninox punctulata (Quoy & Gaimard, 1832)",Speckled Boobook,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ninox Hodgson, 1837')"
"Ninox variegata (Quoy & Gaimard, 1832)",New Ireland Boobook,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ninox Hodgson, 1837')"
"Otus manadensis (Quoy & Gaimard, 1832)",Sulawesi Scops Owl,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Otus Pennant, 1769')"
"Mulleripicus fulvus (Quoy & Gaimard, 1832)",Ashy Woodpecker,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Mulleripicus Bonaparte, 1854')"
"Malurus cyanocephalus (Quoy & Gaimard, 1832)",Emperor Fairywren,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Malurus Vieillot, 1816')"
"Malurus splendens (Quoy & Gaimard, 1832)",Splendid Fairywren,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Malurus Vieillot, 1816')"
"Gerygone igata (Quoy & Gaimard, 1832)",Grey Gerygone,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Gerygone Gould, 1841')"
"Acanthiza chrysorrhoa (Quoy & Gaimard, 1832)",Yellow-rumped Thornbill,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Acanthiza Vigors & Horsfield, 1827')"
"Colluricincla megarhyncha (Quoy & Gaimard, 1832)",Arafura Shrikethrush,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Colluricincla Vigors & Horsfield, 1827')"
"Oriolus bouroensis (Quoy & Gaimard, 1832)",Black-eared Oriole,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Oriolus Linnaeus, 1766')"
"Dicrurus megarhynchus (Quoy & Gaimard, 1832)",Paradise Drongo,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Dicrurus Vieillot, 1816')"
"Symposiachrus manadensis (Quoy & Gaimard, 1832)",Hooded Monarch,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Symposiachrus Bonaparte, 1854')"
"Myiagra vanikorensis (Quoy & Gaimard, 1832)",Vanikoro Flycatcher,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myiagra Vigors & Horsfield, 1827')"
"Quoyornis georgianus (Quoy & Gaimard, 1832)",White-breasted Robin,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Quoyornis Mathews, 1912')"
"Melanodryas vittata (Quoy & Gaimard, 1832)",Dusky Robin,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Melanodryas Gould, 1865')"
"Acrocephalus luscinius (Quoy & Gaimard, 1832)",Nightingale Reed Warbler,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Acrocephalus Naumann, JA & Naumann, JF, 1811')"
"Poodytes punctatus (Quoy & Gaimard, 1832)",New Zealand Fernbird,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Poodytes Cabanis, 1851')"
"Aplonis zelandica (Quoy & Gaimard, 1832)",Rusty-winged Starling,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Aplonis Gould, 1836')"
"Stagonopleura oculata (Quoy & Gaimard, 1832)",Red-eared Firetail,1832,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Stagonopleura Reichenbach, 1850')"
"Scleroptila gutturalis (Rppell, 1835)",Orange River Francolin,1835,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Scleroptila Blyth, 1852')"
"Alectoris melanocephala (Rppell, 1835)",Arabian Partridge,1835,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Alectoris Kaup, 1829')"
"Pternistis erckelii (Rppell, 1835)",Erckels Spurfowl,1835,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pternistis Wagler, 1832')"
"Crinifer zonurus (Rppell, 1835)",Eastern Plantain-eater,1835,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Crinifer Jarocki, 1821')"
"Menelikornis leucotis (Rppell, 1835)",White-cheeked Turaco,1835,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Menelikornis Boetticher, 1947')"
"Lissotis melanogaster (Rppell, 1835)",Black-bellied Bustard,1835,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lissotis Reichenbach, 1848')"
"Tockus flavirostris (Rppell, 1835)",Eastern Yellow-billed Hornbill,1835,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Tockus Lesson, RP, 1830')"
"Buteo augur (Rppell, 1836)",Augur Buzzard,1836,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Buteo Lacpde, 1799')"
"Onychognathus tenuirostris (Rppell, 1836)",Slender-billed Starling,1836,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Onychognathus Hartlaub, 1849')"
"Onychognathus albirostris (Rppell, 1836)",White-billed Starling,1836,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Onychognathus Hartlaub, 1849')"
"Neotis ludwigii (Rppell, 1837)",Ludwigs Bustard,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Neotis Sharpe, 1893')"
"Streptopelia lugens (Rppell, 1837)",Dusky Turtle Dove,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Streptopelia Bonaparte, 1855')"
"Streptopelia semitorquata (Rppell, 1837)",Red-eyed Dove,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Streptopelia Bonaparte, 1855')"
"Bostrychia carunculata (Rppell, 1837)",Wattled Ibis,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Bostrychia Gray, GR, 1847')"
"Lybius undatus (Rppell, 1837)",Banded Barbet,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lybius Hermann, 1783')"
"Turdoides leucopygia (Rppell, 1837)",White-rumped Babbler,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Turdoides Cretzschmar, 1826')"
"Turdus simensis (Rppell, 1837)",Ethiopian Thrush,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Turdus Linnaeus, 1758')"
"Cossypha semirufa (Rppell, 1837)",Rppells Robin-Chat,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cossypha Vigors, 1825')"
"Monticola rufocinereus (Rppell, 1837)",Little Rock Thrush,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Monticola Boie, F, 1822')"
"Monticola semirufus (Rppell, 1837)",White-winged Cliff Chat,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Monticola Boie, F, 1822')"
"Pinarochroa sordida (Rppell, 1837)",Moorland Chat,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pinarochroa Sundevall, 1872')"
"Myrmecocichla melaena (Rppell, 1837)",Rppells Black Chat,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myrmecocichla Cabanis, 1851')"
"Oenanthe albifrons (Rppell, 1837)",White-fronted Black Chat,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Oenanthe Vieillot, 1816')"
"Oenanthe lugubris (Rppell, 1837)",Abyssinian Wheatear,1837,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Oenanthe Vieillot, 1816')"
"Coracina maxima (Rppell, 1839)",Ground Cuckooshrike,1839,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Coracina Vieillot, 1816')"
"Lalage melanoptera (Rppell, 1839)",Black-headed Cuckooshrike,1839,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lalage Boie, F, 1826')"
"Melaniparus leucomelas (Rppell, 1840)",White-winged Black Tit,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Melaniparus Bonaparte, 1850')"
"Psalidoprocne pristoptera (Rppell, 1840)",Black Saw-wing,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Psalidoprocne Cabanis, 1851')"
"Phylloscopus umbrovirens (Rppell, 1840)",Brown Woodland Warbler,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phylloscopus Boie, F, 1826')"
"Bradypterus cinnamomeus (Rppell, 1840)",Cinnamon Bracken Warbler,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Bradypterus Swainson, 1837')"
"Cisticola lugubris (Rppell, 1840)",Ethiopian Cisticola,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cisticola Kaup, 1829')"
"Sylvia abyssinica (Rppell, 1840)",African Hill Babbler,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sylvia Scopoli, 1769')"
"Curruca lugens (Rppell, 1840)",Brown Parisoma,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Curruca Bechstein, 1802')"
"Melaenornis chocolatinus (Rppell, 1840)",Abyssinian Slaty Flycatcher,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Melaenornis Gray, GR, 1840')"
"Empidornis semipartitus (Rppell, 1840)",Silverbird,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Empidornis Reichenow, 1901')"
"Passer swainsonii (Rppell, 1840)",Swainsons Sparrow,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Passer Brisson, 1760')"
"Lagonosticta larvata (Rppell, 1840)",Black-faced Firefinch,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lagonosticta Cabanis, 1851')"
"Crithagra citrinelloides (Rppell, 1840)",African Citril,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Crithagra Swainson, 1827')"
"Crithagra xanthopygia (Rppell, 1840)",Yellow-rumped Seedeater,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Crithagra Swainson, 1827')"
"Crithagra tristriata (Rppell, 1840)",Brown-rumped Seedeater,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Crithagra Swainson, 1827')"
"Crithagra striolata (Rppell, 1840)",Streaky Seedeater,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Crithagra Swainson, 1827')"
"Crinifer personatus (Rppell, 1842)",Bare-faced Go-away-bird,1842,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Crinifer Jarocki, 1821')"
"Crinifer leucogaster (Rppell, 1842)",White-bellied Go-away-bird,1842,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Crinifer Jarocki, 1821')"
"Poicephalus flavifrons (Rppell, 1842)",Yellow-fronted Parrot,1842,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Poicephalus Swainson, 1837')"
"Poicephalus rufiventris (Rppell, 1842)",Red-bellied Parrot,1842,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Poicephalus Swainson, 1837')"
"Cyanochen cyanoptera (Rppell, 1845)",Blue-winged Goose,1845,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cyanochen Bonaparte, 1856')"
"Vanellus melanocephalus (Rppell, 1845)",Spot-breasted Lapwing,1845,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Vanellus Brisson, 1760')"
"Rhinopomastus minor (Rppell, 1845)",Abyssinian Scimitarbill,1845,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rhinopomastus Jardine, 1828')"
"Cisticola robustus (Rppell, 1845)",Stout Cisticola,1845,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cisticola Kaup, 1829')"
"Argya rubiginosa (Rppell, 1845)",Rufous Chatterer,1845,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Argya Lesson, RP, 1831')"
"Dinemellia dinemelli (Rppell, 1845)",White-headed Buffalo Weaver,1845,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Dinemellia Reichenbach, 1863')"
"Botaurus lentiginosus (Rackett, 1813)",American Bittern,1813,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Botaurus Stephens, 1819')"
"Aythya baeri (Radde, 1863)",Baers Pochard,1863,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Aythya Boie, F, 1822')"
"Phylloscopus schwarzi (Radde, 1863)",Raddes Warbler,1863,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phylloscopus Boie, F, 1826')"
"Prunella ocularis (Radde, 1884)",Raddes Accentor,1884,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Prunella Vieillot, 1816')"
"Lophura erythrophthalma (Raffles, 1822)",Malayan Crestless Fireback,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lophura Fleming, J, 1822')"
"Lophura rufa (Raffles, 1822)",Malayan Crested Fireback,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lophura Fleming, J, 1822')"
"Rhinortha chlorophaea (Raffles, 1822)",Raffless Malkoha,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rhinortha Vigors, 1830')"
"Phaenicophaeus sumatranus (Raffles, 1822)",Chestnut-bellied Malkoha,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phaenicophaeus Stephens, 1815')"
"Ducula badia (Raffles, 1822)",Mountain Imperial Pigeon,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ducula Hodgson, 1836')"
"Rallina fasciata (Raffles, 1822)",Red-legged Crake,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rallina Gray, GR, 1846')"
"Mycteria cinerea (Raffles, 1822)",Milky Stork,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Mycteria Linnaeus, 1758')"
"Gorsachius melanolophus (Raffles, 1822)",Malayan Night Heron,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Gorsachius Bonaparte, 1855')"
"Ninox scutulata (Raffles, 1822)",Brown Boobook,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ninox Hodgson, 1837')"
"Ketupa sumatrana (Raffles, 1822)",Barred Eagle-Owl,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ketupa Lesson, RP, 1830')"
"Harpactes kasumba (Raffles, 1822)",Red-naped Trogon,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Harpactes Swainson, 1833')"
"Berenicornis comatus (Raffles, 1822)",White-crowned Hornbill,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Berenicornis Bonaparte, 1850')"
"Anthracoceros malayanus (Raffles, 1822)",Black Hornbill,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Anthracoceros Reichenbach, 1849')"
"Tanygnathus sumatranus (Raffles, 1822)",Azure-rumped Parrot,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Tanygnathus Wagler, 1832')"
"Corydon sumatranus (Raffles, 1822)",Dusky Broadbill,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Corydon Lesson, RP, 1828')"
"Hydrornis caeruleus (Raffles, 1822)",Giant Pitta,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Hydrornis Blyth, 1843')"
"Pericrocotus divaricatus (Raffles, 1822)",Ashy Minivet,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pericrocotus Boie, F, 1826')"
"Cyornis rufigastra (Raffles, 1822)",Mangrove Blue Flycatcher,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cyornis Blyth, 1843')"
"Aethopyga siparaja (Raffles, 1822)",Crimson Sunbird,1822,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Aethopyga Cabanis, 1851')"
"Hemiprocne longipennis (Rafinesque, 1802)",Grey-rumped Treeswift,1802,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Hemiprocne Nitzsch, 1829')"
"Cisticola juncidis (Rafinesque, 1810)",Zitting Cisticola,1810,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cisticola Kaup, 1829')"
"Atrichornis rufescens (Ramsay, EP, 1866)",Rufous Scrubbird,1866,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Atrichornis Stejneger, 1885')"
"Bolemoreus frenatus (Ramsay, EP, 1874)",Bridled Honeyeater,1874,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Bolemoreus Nyri & Joseph, 2011')"
"Aerodramus terraereginae (Ramsay, EP, 1875)",Australian Swiftlet,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Aerodramus Oberholser, 1906')"
"Vini amabilis (Ramsay, EP, 1875)",Red-throated Lorikeet,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Vini Lesson, RP, 1833')"
"Xanthotis macleayanus (Ramsay, EP, 1875)",Macleays Honeyeater,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Xanthotis Reichenbach, 1852')"
"Horornis ruficapilla (Ramsay, EP, 1875)",Fiji Bush Warbler,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Horornis Hodgson, 1845')"
"Scenopoeetes dentirostris (Ramsay, EP, 1876)",Tooth-billed Bowerbird,1876,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Scenopoeetes Coues, 1891')"
"Heteromyias cinereifrons (Ramsay, EP, 1876)",Grey-headed Robin,1876,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Heteromyias Sharpe, 1879')"
"Columba pallidiceps (Ramsay, EP, 1878)",Yellow-legged Pigeon,1878,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Columba Linnaeus, 1758')"
"Erythropitta novaehibernicae (Ramsay, EP, 1878)",Bismarck Pitta,1878,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Erythropitta Bonaparte, 1854')"
"Lichmera alboauricularis (Ramsay, EP, 1878)",Silver-eared Honeyeater,1878,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lichmera Cabanis, 1851')"
"Alisterus chloropterus (Ramsay, EP, 1879)",Papuan King Parrot,1879,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Alisterus Mathews, 1911')"
"Myzomela melanocephala (Ramsay, EP, 1879)",Black-headed Myzomela,1879,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myzomela Vigors & Horsfield, 1827')"
"Rhipidura cockerelli (Ramsay, EP, 1879)",Cockerells Fantail,1879,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Rhipidura Vigors & Horsfield, 1827')"
"Symposiachrus barbatus (Ramsay, EP, 1879)",Solomons Monarch,1879,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Symposiachrus Bonaparte, 1854')"
"Gennaeodryas placens (Ramsay, EP, 1879)",Banded Yellow Robin,1879,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Gennaeodryas Mathews, 1920')"
"Accipiter brachyurus (Ramsay, EP, 1880)",New Britain Sparrowhawk,1880,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Accipiter Brisson, 1760')"
"Micropsitta finschii (Ramsay, EP, 1881)",Finschs Pygmy Parrot,1881,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Micropsitta Lesson, RP, 1831')"
"Monarcha richardsii (Ramsay, EP, 1881)",White-capped Monarch,1881,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Monarcha Vigors & Horsfield, 1827')"
"Pampusana salamonis (Ramsay, EP, 1882)",Thick-billed Ground Dove,1882,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pampusana Bonaparte, 1855')"
"Ducula finschii (Ramsay, EP, 1882)",Finschs Imperial Pigeon,1882,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ducula Hodgson, 1836')"
"Aplonis feadensis (Ramsay, EP, 1882)",Atoll Starling,1882,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Aplonis Gould, 1836')"
"Symposiachrus browni (Ramsay, EP, 1883)",Kolombangara Monarch,1883,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Symposiachrus Bonaparte, 1854')"
"Todiramphus albonotatus (Ramsay, EP, 1884)",White-mantled Kingfisher,1884,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Todiramphus Lesson, RP, 1827')"
"Zosterornis nigrorum (Rand & Rabor, 1952)",Negros Striped Babbler,1952,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Zosterornis Ogilvie-Grant, 1894')"
"Robsonius sorsogonensis (Rand & Rabor, 1967)",Bicol Ground Warbler,1967,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Robsonius Collar, 2006')"
"Cyornis camarinensis (Rand & Rabor, 1967)",Rufous-breasted Blue Flycatcher,1967,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cyornis Blyth, 1843')"
"Microptilotis cinereifrons (Rand, 1936)",Elegant Honeyeater,1936,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Microptilotis Mathews, 1912')"
"Aerodramus papuensis (Rand, 1941)",Three-toed Swiftlet,1941,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Aerodramus Oberholser, 1906')"
"Sheppardia gabela (Rand, 1957)",Gabela Akalat,1957,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sheppardia Haagner, 1909')"
"Robsonius rabori (Rand, 1960)",Cordillera Ground Warbler,1960,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Robsonius Collar, 2006')"
"Napothera naungmungensis (Rappole, Renner, Shwe & Sweet, 2005)",Naung Mung Scimitar Babbler,2005,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Napothera Gray, GR, 1842')"
"Locustella alishanensis (Rasmussen, Round, Dickinson & Rozendaal, 2000)",Taiwan Bush Warbler,2000,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Locustella Kaup, 1829')"
"Chlorestes notata (Reich, 1793)",Blue-chinned Sapphire,1793,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Chlorestes Reichenbach, 1854')"
