scientific_name,common_name,year_discovered,genus_scientific_name
"Trichoglossus weberi (Bttikofer, 1894)",Leaf Lorikeet,1894,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Trichoglossus Stephens, 1826')"
"Dicaeum annae (Bttikofer, 1894)",Golden-rumped Flowerpecker,1894,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Dicaeum Cuvier, 1816')"
"Melozone aberti (Baird, SF, 1852)",Aberts Towhee,1852,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Melozone Reichenbach, 1850')"
"Setophaga kirtlandii (Baird, SF, 1852)",Kirtlands Warbler,1852,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Setophaga Swainson, 1827')"
"Melanerpes uropygialis (Baird, SF, 1854)",Gila Woodpecker,1854,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Melanerpes Swainson, 1832')"
"Haemorhous cassinii (Baird, SF, 1854)",Cassins Finch,1854,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Haemorhous Swainson, 1837')"
"Aphelocoma woodhouseii (Baird, SF, 1858)",Woodhouses Scrub Jay,1858,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Aphelocoma Cabanis, 1851')"
"Leiothlypis virginiae (Baird, SF, 1860)",Virginias Warbler,1860,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Leiothlypis Sangster, 2008')"
"Setophaga adelaidae (Baird, SF, 1865)",Adelaides Warbler,1865,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Setophaga Swainson, 1827')"
"Setophaga graciae (Baird, SF, 1865)",Graces Warbler,1865,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Setophaga Swainson, 1827')"
"Myioborus torquatus (Baird, SF, 1865)",Collared Whitestart,1865,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myioborus Baird, SF, 1865')"
"Onychoprion aleuticus (Baird, SF, 1869)",Aleutian Tern,1869,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Onychoprion Wagler, 1832')"
"Vireo magister (Baird, SF, 1871)",Yucatan Vireo,1871,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Vireo Vieillot, 1808')"
"Empidonax flaviventris (Baird, WM & Baird, SF, 1843)",Yellow-bellied Flycatcher,1843,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Empidonax Cabanis, 1855')"
"Empidonax minimus (Baird, WM & Baird, SF, 1843)",Least Flycatcher,1843,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Empidonax Cabanis, 1855')"
"Stachyris herberti (Baker, ECS, 1920)",Sooty Babbler,1920,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Stachyris Hodgson, 1844')"
"Coracina dobsoni (Ball, 1872)",Andaman Cuckooshrike,1872,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Coracina Vieillot, 1816')"
"Megascops roboratus (Bangs & Noble, 1918)",West Peruvian Screech Owl,1918,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Megascops Kaup, 1848')"
"Lophotriccus vitiosus (Bangs & Penard, TE, 1921)",Double-banded Pygmy Tyrant,1921,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lophotriccus Berlepsch, 1884')"
"Coeligena phalerata (Bangs, 1898)",White-tailed Starfrontlet,1898,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Coeligena Lesson, RP, 1833')"
"Clibanornis rufipectus (Bangs, 1898)",Santa Marta Foliage-gleaner,1898,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Clibanornis Sclater, PL & Salvin, 1873')"
"Arremon basilicus (Bangs, 1898)",Sierra Nevada Brushfinch,1898,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Arremon Vieillot, 1816')"
"Chaetocercus astreans (Bangs, 1899)",Santa Marta Woodstar,1899,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Chaetocercus Gray, GR, 1855')"
"Myiotheretes pernix (Bangs, 1899)",Santa Marta Bush Tyrant,1899,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myiotheretes Reichenbach, 1850')"
