vernacularName	language	taxonID
Rufous-breasted Wood Quail	en	986c46f604d208d630e6cd093a44033f
Tacarcuna Wood Quail	en	64826241e91b194868f7361db5770cc4
Gorgeted Wood Quail	en	c94d548cd4b26b359ac8925c05996857
Venezuelan Wood Quail	en	8e351bb758e2dd81081b220b98c43db7
Black-breasted Wood Quail	en	fe61b68a510e9398f2e17ab9af13be7e
Stripe-faced Wood Quail	en	c29d8349bee9c3ce27b6e4ba93962c31
Starred Wood Quail	en	1cf39959bafec6e15ebd87240f492233
Spotted Wood Quail	en	c04a13b4d8440ba2e555b5298c6cfd3c
Singing Quail	en	b13cb65c38dbb5d11569db01c5fe71cd
Montezuma Quail	en	9703fa77db25ddd9bea3cc4bdb5412e4
Ocellated Quail	en	8521b30f43d9367eb5ec7b9acb60f3ef
Tawny-faced Quail	en	f7d0e5ee4624d1c12265ff7d3a32fc09
Pheasants & Allies	en	6deb264c010141ffcbaac25173624f3d
Udzungwa Forest Partridge	en	e17f51d8be2b2e7932455fab98cf5e7a
Rubeho Forest Partridge	en	4a5b0bca1260da0a33ce690aa1101c0c
Ferruginous Partridge	en	94022d199a2c324eb2d2392ac39aa358
Crested Partridge	en	0c1d684d7570d66d8d76f4adc386fa31
Black Partridge	en	af0758c7576caddf72f6bd41a983d32f
Hill Partridge	en	ff7ef86393566c117097dcd4fa01632c
Sichuan Partridge	en	66f7b2f834f1dac5ec915833fc5a8dbe
Chestnut-breasted Partridge	en	ef189417490365a91bd88bf2742d7882
White-necklaced Partridge	en	fc7f26d79fa0e7e87af2aaddfeec5948
Rufous-throated Partridge	en	0c229f2bb62e41610df7d7f5fa141309
Red-billed Partridge	en	a22a8a5b1fae281c0a6265f9310fca34
Siamese Partridge	en	631d76fd0417e3d81270a3d37b675b3f
Chestnut-headed Partridge	en	8232d0da00250eff45e3e68c20d38bee
Hainan Partridge	en	da188a54853d5e228f252178ffd320df
Taiwan Partridge	en	20818f6b3fdf24a2b684631069131bad
White-cheeked Partridge	en	0aeaa5e595fa158e1920b043d9f02b7e
Bar-backed Partridge	en	c7f91ac6516e68d0515a8bf669ca8779
Orange-necked Partridge	en	84ccbdceb5440116a07d4a89ef3b1d51
Red-breasted Partridge	en	8f3dbb266e3a745d0ca0e1f7be7758e0
Malayan Partridge	en	906d3028eddd8d4e181c056f7f3d17e5
Roll's Partridge	en	77967d57c93685ae1897d8ec22da3b3b
Sumatran Partridge	en	c0c680710df14b435e6daca4da610bba
Chestnut-bellied Partridge	en	6ac24d5b9f34c8f362abce3bbe647423
Grey-breasted Partridge	en	f36d073baff34a0b27168a6105de5497
Snow Partridge	en	7c8efab970a55cee645c84c39f47855b
Blood Pheasant	en	4e378eb33c7ff59b058426bacf4a9b55
Western Tragopan	en	0ac6ca57662ec1df45e6c1c97314e913
Satyr Tragopan	en	1261b66c02c5deea89ec891b202ade79
Blyth's Tragopan	en	120ab3fb6342bf4b05424be4a79fe670
Temminck's Tragopan	en	80bf9ad3f6af3f1146dd1ce4190668cd
Cabot's Tragopan	en	46bc08282b30ffe787bc32ef8899d904
Verreaux's Monal-Partridge	en	b1db042e10c71b8833eb5a2be5a7ec72
Szechenyi's Monal-Partridge	en	a0e89e4c27179426889088b735504e8c
Himalayan Monal	en	9e7291e14a658f9a943aed3e88ab01eb
Sclater's Monal	en	5cdc3177f3932c52fb5a2f08506e5a03
